Id,KC,log_GSS,S
411,33.5098,-3.391,0.842658
412,41.8872,-3.81697,0.811278
413,47.4722,-2.99306,0.776556
414,36.3023,-3.59512,0.543564
415,44.6797,-4.29409,0.954434
416,44.6797,-4.29409,0.696212
417,36.3023,-4.29409,0.543564
418,41.8872,-4.29409,0.988699
419,44.6797,-3.69203,0.811278
420,36.3023,-3.21491,0.937734
421,25.1323,-3.99306,0.988699
422,44.6797,-3.99306,0.870864
423,44.6797,-3.69203,0.870864
424,50.2647,-3.69203,0.811278
425,36.3023,-4.29409,0.650022
426,33.5098,-2.78894,0.650022
427,36.3023,-2.78894,0.811278
428,39.0947,-4.29409,0.599314
429,39.0947,-3.69203,0.650022
430,36.3023,-3.08997,0.543564
431,30.7173,-3.69203,0.482066
432,33.5098,-3.69203,0.543564
433,50.2647,-3.391,0.776556
434,33.5098,-4.29409,0.599314
435,44.6797,-3.99306,0.738285
436,39.0947,-2.48791,0.599314
437,36.3023,-3.29409,0.599314
438,27.9248,-3.69203,0.413817
439,36.3023,-3.08997,0.870864
440,30.7173,-4.29409,0.413817
441,50.2647,-4.29409,0.811278
442,33.5098,-2.99306,0.918296
443,39.0947,-3.81697,0.896038
444,47.4722,-4.29409,0.738285
445,47.4722,-3.69203,0.776556
446,44.6797,-4.29409,0.738285
447,33.5098,-3.69203,0.896038
448,39.0947,-3.51594,0.811278
449,39.0947,-3.81697,0.842658
450,44.6797,-3.99306,0.896038
451,41.8872,-4.29409,0.696212
452,36.3023,-3.51594,0.650022
453,39.0947,-3.21491,0.811278
454,39.0947,-4.29409,0.738285
455,36.3023,-3.69203,0.811278
456,39.0947,-4.29409,0.650022
457,44.6797,-3.81697,0.918296
458,41.8872,-3.81697,0.650022
459,36.3023,-2.72589,0.870864
460,30.7173,-3.51594,0.413817
461,41.8872,-3.391,0.696212
462,41.8872,-3.391,0.650022
463,44.6797,-3.08997,0.650022
464,30.7173,-3.08997,0.482066
465,30.7173,-3.69203,0.482066
466,44.6797,-4.29409,0.811278
467,47.4722,-3.391,0.896038
468,36.3023,-3.51594,0.968461
469,55.8496,-4.29409,0.870864
470,39.0947,-4.29409,0.696212
471,30.7173,-2.58652,0.543564
472,41.8872,-3.33985,0.954434
473,39.0947,-3.21491,0.650022
474,39.0947,-3.99306,0.599314
475,39.0947,-3.59512,0.937734
476,33.5098,-3.21491,0.543564
477,41.8872,-3.33985,0.599314
478,39.0947,-3.391,0.738285
479,39.0947,-3.69203,0.599314
480,33.5098,-3.69203,0.482066
481,30.7173,-3.29409,0.776556
482,33.5098,-2.391,0.811278
483,39.0947,-3.21491,0.842658
484,33.5098,-2.80273,0.811278
485,33.5098,-2.87912,0.896038
486,36.3023,-4.29409,0.696212
487,41.8872,-3.69203,0.811278
488,36.3023,-3.59512,0.543564
489,36.3023,-3.21491,0.738285
490,33.5098,-2.99306,0.650022
491,36.3023,-3.81697,0.650022
492,41.8872,-4.29409,0.896038
493,36.3023,-4.29409,0.599314
494,36.3023,-3.99306,0.650022
495,47.4722,-3.69203,0.954434
496,50.2647,-4.29409,0.937734
497,55.8496,-3.69203,0.811278
498,33.5098,-4.29409,0.918296
499,47.4722,-4.29409,0.776556
500,41.8872,-3.08997,0.870864
501,44.6797,-3.69203,0.842658
502,44.6797,-4.29409,0.776556
503,33.5098,-3.69203,0.696212
504,39.0947,-3.69203,0.650022
505,27.9248,-4.29409,0.482066
506,44.6797,-3.118,0.896038
507,36.3023,-3.69203,0.738285
508,30.7173,-2.28977,0.650022
