Id,KC,log_GSS,TopHalf
554,33.5098,-3.08997,1
555,47.4722,-3.99306,1
556,33.5098,-3.69203,1
557,41.8872,-3.59512,1
558,30.7173,-2.31182,0
559,41.8872,-3.69203,1
560,36.3023,-3.21491,1
561,22.3398,-3.81697,1
562,39.0947,-3.21491,1
563,36.3023,-3.59512,1
564,33.5098,-3.391,1
565,39.0947,-3.21491,0
566,41.8872,-3.81697,1
567,47.4722,-2.99306,0
568,41.8872,-3.69203,1
569,36.3023,-3.21491,1
570,36.3023,-3.59512,1
571,39.0947,-3.81697,1
572,44.6797,-4.29409,1
573,44.6797,-4.29409,1
574,36.3023,-4.29409,1
575,41.8872,-4.29409,1
576,44.6797,-3.69203,1
577,36.3023,-3.21491,1
578,25.1323,-3.99306,1
579,44.6797,-3.99306,1
580,44.6797,-3.69203,1
581,41.8872,-3.59512,1
582,50.2647,-3.69203,1
583,36.3023,-4.29409,1
584,39.0947,-4.29409,1
585,33.5098,-2.78894,0
586,36.3023,-2.78894,0
587,39.0947,-4.29409,1
588,41.8872,-3.69203,1
589,41.8872,-3.99306,1
590,39.0947,-3.69203,1
591,36.3023,-4.29409,1
592,36.3023,-3.08997,1
593,30.7173,-3.69203,1
594,33.5098,-3.69203,1
595,36.3023,-4.29409,1
596,50.2647,-3.391,1
597,41.8872,-4.29409,1
598,33.5098,-4.29409,1
599,44.6797,-3.99306,1
600,44.6797,-3.51594,1
601,39.0947,-2.48791,0
602,36.3023,-3.29409,1
603,44.6797,-4.29409,1
604,27.9248,-3.69203,1
605,36.3023,-3.08997,1
606,30.7173,-4.29409,1
607,50.2647,-4.29409,1
608,33.5098,-2.99306,1
609,39.0947,-3.81697,1
610,47.4722,-4.29409,1
611,47.4722,-3.69203,1
612,44.6797,-4.29409,1
613,36.3023,-3.391,1
614,33.5098,-3.69203,1
615,39.0947,-3.51594,1
616,39.0947,-3.81697,1
617,41.8872,-3.69203,1
618,50.2647,-4.29409,1
619,44.6797,-3.99306,1
620,41.8872,-4.29409,1
621,30.7173,-3.69203,1
622,41.8872,-4.29409,1
623,36.3023,-3.51594,1
624,44.6797,-3.69203,1
625,39.0947,-3.21491,0
626,39.0947,-4.29409,1
627,36.3023,-3.69203,1
628,36.3023,-4.29409,1
629,39.0947,-4.29409,1
630,33.5098,-3.69203,1
631,44.6797,-3.81697,1
632,41.8872,-3.81697,1
633,36.3023,-2.72589,0
634,30.7173,-3.51594,1
635,41.8872,-3.391,1
636,39.0947,-3.69203,1
637,41.8872,-3.391,1
638,44.6797,-3.08997,0
639,30.7173,-3.08997,1
640,36.3023,-3.29409,1
641,30.7173,-3.69203,1
642,41.8872,-4.29409,1
643,44.6797,-4.29409,1
644,47.4722,-3.391,1
645,36.3023,-4.29409,1
646,47.4722,-3.391,1
647,36.3023,-3.51594,1
648,55.8496,-4.29409,1
649,39.0947,-4.29409,1
650,39.0947,-4.29409,1
651,30.7173,-2.58652,1
652,30.7173,-2.99306,1
653,44.6797,-4.29409,1
